plate,well_position,sentrix_id,sentrix_position,sample_id,description,tissue,age,sex,normal_7_19,jh_11_19
1483,A11,201980430148,R01C01,PA LL 1,tumor gland,NA,NA,NA,FALSE,FALSE
1483,B11,201980430148,R02C01,PA LL 2,tumor gland,NA,NA,NA,FALSE,FALSE
1483,C11,201980430148,R03C01,PB LL 3,tumor gland,NA,NA,NA,FALSE,FALSE
1483,D11,201980430148,R04C01,PB LL 4,tumor gland,NA,NA,NA,FALSE,FALSE
1483,E11,201980430148,R05C01,SA LL 5,tumor gland,NA,NA,NA,FALSE,FALSE
1483,F11,201980430148,R06C01,SA LL 6,tumor gland,NA,NA,NA,FALSE,FALSE
1483,G11,201980430148,R07C01,SB LL 7,tumor gland,NA,NA,NA,FALSE,FALSE
1483,H11,201980430148,R08C01,SB LL 8,tumor gland,NA,NA,NA,FALSE,FALSE
1464,A01,201959740106,R01C01,DA LL 1,tumor gland,NA,NA,NA,FALSE,FALSE
1464,B01,201959740106,R02C01,DA LL 2,tumor gland,NA,NA,NA,FALSE,FALSE
1464,C01,201959740106,R03C01,DB LL 3,tumor gland,NA,NA,NA,FALSE,FALSE
1464,D01,201959740106,R04C01,DB LL 4,tumor gland,NA,NA,NA,FALSE,FALSE
1464,E01,201959740106,R05C01,SA LL 1,tumor gland,NA,NA,NA,FALSE,FALSE
1464,F01,201959740106,R06C01,SA LL 2,tumor gland,NA,NA,NA,FALSE,FALSE
1464,G01,201959740106,R07C01,SB LL 3,tumor gland,NA,NA,NA,FALSE,FALSE
1464,H01,201959740106,R08C01,SB LL 4,tumor gland,NA,NA,NA,FALSE,FALSE
1451,A01,201530950071,R01C01,UB L -1,tumor gland,NA,NA,NA,FALSE,FALSE
1451,B01,201530950071,R02C01,UA L -2,tumor gland,NA,NA,NA,FALSE,FALSE
1451,C01,201530950071,R03C01,UA L -3,tumor gland,NA,NA,NA,FALSE,FALSE
1451,D01,201530950071,R04C01,UB L -4,tumor gland,NA,NA,NA,FALSE,FALSE
1451,E01,201530950071,R05C01,XA L -5,tumor gland,NA,NA,NA,FALSE,FALSE
1451,F01,201530950071,R06C01,XA L -6,tumor gland,NA,NA,NA,FALSE,FALSE
1451,G01,201530950071,R07C01,XB L -7,tumor gland,NA,NA,NA,FALSE,FALSE
1451,H01,201530950071,R08C01,XB L -8,tumor gland,NA,NA,NA,FALSE,FALSE
1439,A02,201172540005,R01C01,EA LL 1,tumor gland,NA,NA,NA,FALSE,FALSE
1439,B02,201172540005,R02C01,EA LL2,tumor gland,NA,NA,NA,FALSE,FALSE
1439,C02,201172540005,R03C01,EB LL 3,tumor gland,NA,NA,NA,FALSE,FALSE
1439,D02,201172540005,R04C01,EB LL4,tumor gland,NA,NA,NA,FALSE,FALSE
1439,E02,201172540005,R05C01,JA LL 1,tumor gland,NA,NA,NA,FALSE,FALSE
1439,F02,201172540005,R06C01,JALL 2,tumor gland,NA,NA,NA,FALSE,FALSE
1439,G02,201172540005,R07C01,JB LL 3,tumor gland,NA,NA,NA,FALSE,FALSE
1439,H02,201172540005,R08C01,JB LL 4,tumor gland,NA,NA,NA,FALSE,FALSE
1387,E04,200514040139,R05C01,HALL-1,tumor gland,NA,NA,NA,FALSE,FALSE
1387,F04,200514040139,R06C01,HALL-2,tumor gland,NA,NA,NA,FALSE,FALSE
1387,G04,200514040139,R07C01,HBLL-3,tumor gland,NA,NA,NA,FALSE,FALSE
1387,H04,200514040139,R08C01,HBLL-4,tumor gland,NA,NA,NA,FALSE,FALSE
1385,A01,200516380072,R01C01,CA LL,tumor gland,NA,NA,NA,FALSE,FALSE
1385,B01,200516380072,R02C01,CA LL,tumor gland,NA,NA,NA,FALSE,FALSE
1385,C01,200516380072,R03C01,CB LL,tumor gland,NA,NA,NA,FALSE,FALSE
1385,D01,200516380072,R04C01,CB LL,tumor gland,NA,NA,NA,FALSE,FALSE
1385,E01,200516380072,R05C01,FA LL,tumor gland,NA,NA,NA,FALSE,FALSE
1385,F01,200516380072,R06C01,FA LL,tumor gland,NA,NA,NA,FALSE,FALSE
1385,G01,200516380072,R07C01,FB LL,tumor gland,NA,NA,NA,FALSE,FALSE
1385,H01,200516380072,R08C01,FB LL,tumor gland,NA,NA,NA,FALSE,FALSE
1378,E01,200514030126,R05C01,KA LL,tumor gland,NA,NA,NA,FALSE,FALSE
1378,F01,200514030126,R06C01,KA LL,tumor gland,NA,NA,NA,FALSE,FALSE
1378,G01,200514030126,R07C01,KB LL,tumor gland,NA,NA,NA,FALSE,FALSE
1378,H01,200514030126,R08C01,KB LL,tumor gland,NA,NA,NA,FALSE,FALSE
